author,study,subgroup,ESID,publication,grade1,grade2,grade3,student_ability,student_language,,girl,boy,missing,black,hispanic,white,asian,native,other,missing2,ses,us,country,english,languageother,ck_measure,specificity,ck_format,ck_reliability,ck_reliability_name,ck_normed,comp_format,comp_measure,comp_reliability,comp_reliability_name,comp_normed,distal,noalignment,samplesize,ckre,compre,ckre2,compre2,corr,table
"August et al., 2006",8,8b,1,0,2.08,,0,,0,Spanish-English bilingual students,,,,,,,,,,,,1,,1,,Background knowledge,1,4,0.54,Cronbach’s alpha,0,,Woodcock Language Proficiency Battery_Listening comprehension,,,1,1,1,521,1,,,0,0.48,
"Hambrick & Engle, 2002",55,55,2,0,13,4,2,,,,84,97,,,,,,,,,,1,,1,,General information,0,3,0.82,Cronbach's alpha,0,0,Multiple-choice A,0.83,Cronbach's alpha,0,1,1,181,0,0,1,1,0.2,table 4
"Hambrick & Engle, 2002",55,55,3,0,13,4,2,,,,84,97,,,,,,,,,,1,,1,,Baseball knowledge test 1,1,0,0.93,Cronbach's alpha,0,0,Multiple-choice A,0.83,Cronbach's alpha,0,0,0,181,0,0,1,1,0.67,
"Hambrick & Engle, 2002",55,55,4,0,13,4,2,,,,84,97,,,,,,,,,,1,,1,,Baseball knowledge test 2,1,2,0.97,Cronbach's alpha,0,0,Multiple-choice A,0.83,Cronbach's alpha,0,0,0,181,0,0,1,1,0.7,
"Hambrick & Engle, 2002",55,55,5,0,13,4,2,,,,84,97,,,,,,,,,,1,,1,,Baseball knowledge test 3,1,0,0.35,Cronbach's alpha,0,0,Multiple-choice A,0.83,Cronbach's alpha,0,0,0,181,1,0,,1,0.24,
"Hambrick & Engle, 2002",55,55,6,0,13,4,2,,,,84,97,,,,,,,,,,1,,1,,General information,0,3,0.82,Cronbach's alpha,0,4,cloze A,0.86,Cronbach's alpha,0,1,1,181,0,0,1,1,0.31,
"Hambrick & Engle, 2002",55,55,7,0,13,4,2,,,,84,97,,,,,,,,,,1,,1,,Baseball knowledge test 1,1,0,0.93,Cronbach's alpha,0,4,cloze A,0.86,Cronbach's alpha,0,0,0,181,0,0,1,1,0.72,
"Hambrick & Engle, 2002",55,55,8,0,13,4,2,,,,84,97,,,,,,,,,,1,,1,,Baseball knowledge test 2,1,2,0.97,Cronbach's alpha,0,4,cloze A,0.86,Cronbach's alpha,0,0,0,181,0,0,1,1,0.76,
"Hambrick & Engle, 2002",55,55,9,0,13,4,2,,,,84,97,,,,,,,,,,1,,1,,Baseball knowledge test 3,1,0,0.35,Cronbach's alpha,0,4,cloze A,0.86,Cronbach's alpha,0,0,0,181,1,0,,1,0.32,
"Hambrick & Engle, 2002",55,55,10,0,13,4,2,,,,84,97,,,,,,,,,,1,,1,,General information,0,3,0.82,Cronbach's alpha,0,0,Multiple-choice B,0.8,Cronbach's alpha,0,1,1,181,0,0,1,1,0.14,
