author,study,subgroup,ESID,publication,grade1,grade2,grade3,student_ability,low,student_language,,girl,boy,missing,black,hispanic,white,asian,native,other,missing2,ses,us,country,english,languageother,ck_measure,specificity,ck_format,ck_re,ck_reliability,ck_reliability_name,ck_normed,comp_type,comp_measure,comp_format,comp_reliability,comp_reliability_name,comp_normed,distal,noalignment,samplesize,corr,table,ckre,compre,ckre2,compre2
"Abate, 1991",2,2,1,1,13,4,2,,,,,,,,,,,,,,,,1,,1,,Domain knowledge test,1,0,,,,0,RC,Tests of Achievement and Proficiency,0,,,1,1,1,38,0.504,table 5,,,0,0
"Alexander et al., 1994",4,4,2,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,topic knowledge,1,2,0.9,>.90,IRR,0,RC,comprehension recall,4,0.82,,0,0,0,209,0.3,table 2,0,0,1,1
"Alexander et al., 1994",4,4,3,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,domain knowledge ,0,0,0.83,0.83,Kuder-Richardson 20 reliability,0,RC,comprehension recall,4,0.82,,0,0,0,209,0.47,,0,0,1,1
"Alexander et al., 1994",4,4,4,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,topic knowledge,1,2,0.9,>.90,IRR,0,RC,comprehension recall,4,0.84,,0,0,0,209,0.43,,0,0,1,1
"Alexander et al., 1994",4,4,5,0,13,4,2,0,,,,,,,,,,,,,,,1,,1,,domain knowledge ,0,0,0.83,0.83,Kuder-Richardson 20 reliability,0,RC,comprehension recall,4,0.84,,0,0,0,209,0.54,,0,0,1,1
"Angthong, 1991",6,6,6,1,13,4,2,0,,0,Thai,,,,,,,,,,,,0,Thailand,1,,background knowledge test ,1,0,0.82,0.82,Kuder-Richardson 20 reliability,0,RC,Bankok reading comprehension test,0,0.91,Kuder-Richardson 20 reliability,0,0,0,60,0.72,table 1,0,0,1,1
"Angthong, 1991",6,6,7,1,13,4,2,0,,0,Thai,,,,,,,,,,,,0,Thailand,1,,background knowledge test ,1,0,0.82,0.82,Kuder-Richardson 20 reliability,0,RC,New York city reading comprehension test,0,0.9,Kuder-Richardson 20 reliability,0,0,0,60,0.76,,0,0,1,1
"Ardasheva et al., 2017",7,7,8,0,7,2,1,0,,0,"86 current ELs and 83 former ELs, Most students were Spanish speaking (about 99%) and less than 1% spoke other languages (Arabic and Russian) at home.",88,66,,,,,,,,,0,1,,1,,Vocabulary-of-Science Scale,1,4,0.88,0.88,Cronbach’s alpha,0,RC,Science Reading Comprehension,0,0.81,Cronbach’s alpha,0,0,1,154,0.7,appendix B,0,0,1,1
"August et al., 2006",8,8a,9,0,4,1,0,1,0,0,Native Spanish speakers who were currently in all-English instruction in fourth grade,,,,,,,,,,,,1,,1,,Background knowledge,1,4,,,,0,RC,Text inferencing,5,,,0,0,0,28,0.37,table 3,,,0,0
"August et al., 2006",8,8a,10,0,4,1,0,1,0,0,Native Spanish speakers who were currently in all-English instruction in fourth grade,,,,,,,,,,,,1,,1,,Background knowledge,1,4,,,,0,RC,Text memory,5,,,0,0,0,28,-0.04,,,,0,0
"August et al., 2006",8,8a,11,0,4,1,0,1,0,0,Native Spanish speakers who were currently in all-English instruction in fourth grade,,,,,,,,,,,,1,,1,,Background knowledge,1,4,,,,0,RC,Knowledge integration,5,,,0,0,0,28,0.12,,,,0,0
"August et al., 2006",8,8b,12,0,2.08,,0,,,0,Spanish-English bilingual students,,,,,,,,,,,,1,,1,,Background knowledge,1,4,0.54,0.54,Cronbach’s alpha,0,RC,Text inferencing,5,0.54,Cronbach’s alpha,0,0,0,521,0.39,table 6,1,1,,
"August et al., 2006",8,8b,13,0,2.08,,0,,,0,Spanish-English bilingual students,,,,,,,,,,,,1,,0,Spanish,Background knowledge,1,4,0.5,0.5,Cronbach’s alpha,0,RC,Text inferencing,5,0.45,Cronbach’s alpha,0,0,0,496,0.3,,1,1,,
"August et al., 2006",8,8b,14,0,2.08,,0,,,0,Spanish-English bilingual students,,,,,,,,,,,,1,,1,,Background knowledge,1,4,0.5,0.5,Cronbach’s alpha,0,RC,Text memory,5,0.46,Cronbach’s alpha,0,0,0,521,0.32,,1,1,,
"August et al., 2006",8,8b,15,0,2.08,,0,,,0,Spanish-English bilingual students,,,,,,,,,,,,1,,0,Spanish,Background knowledge,1,4,0.5,0.5,Cronbach’s alpha,0,RC,Text memory,5,0.5,Cronbach’s alpha,0,0,0,496,0.35,,1,1,,
"August et al., 2006",8,8b,16,0,2.08,,0,,,0,Spanish-English bilingual students,,,,,,,,,,,,1,,1,,Background knowledge,1,4,0.5,0.5,Cronbach’s alpha,0,RC,Knowledge integration,5,0.47,Cronbach’s alpha,0,0,0,521,0.38,,1,1,,
"August et al., 2006",8,8b,17,0,2.08,,0,,,0,Spanish-English bilingual students,,,,,,,,,,,,1,,0,Spanish,Background knowledge,1,4,0.5,0.5,Cronbach’s alpha,0,RC,Knowledge integration,5,0.46,Cronbach’s alpha,0,0,0,496,0.44,,1,1,,
"August et al., 2006",8,8b,18,0,2.08,,0,,,0,Spanish-English bilingual students,,,,,,,,,,,,1,,1,,Background knowledge,1,4,0.54,0.54,Cronbach’s alpha,0,RC,Woodcock Language Proficiency Battery_Passage comprehension,4,,,1,1,1,521,0.31,table 7,1,,,0
"Awadby, 2012",9,9,19,1,7.57,2,1,,,2,"The majority of participants (n = 56, 82.4%) spoke a language other than English in their home including Spanish, Tagalog, Vietnamese, Hindi, and Urdu.",22,24,,,,,,,,,0,1,,1,,Topic Familiarity Ranking Measure.,1,4,,,,0,RC,CST: ELA section.,0,,,1,0,0,46,0.04,table 2,,,0,0
"Awadby, 2012",9,9,20,1,7.57,2,1,,,2,"The majority of participants (n = 56, 82.4%) spoke a language other than English in their home including Spanish, Tagalog, Vietnamese, Hindi, and Urdu.",22,24,,,,,,,,,0,1,,1,,Topic Familiarity Ranking Measure.,1,4,,,,0,RC,CST: ELA section.,0,,,1,0,0,46,-0.17,,,,0,0
"Awadby, 2012",9,9,21,1,7.57,2,1,,,2,"The majority of participants (n = 56, 82.4%) spoke a language other than English in their home including Spanish, Tagalog, Vietnamese, Hindi, and Urdu.",22,24,,,,,,,,,0,1,,1,,Topic Familiarity Ranking Measure.,1,4,,,,0,RC,CST: ELA section.,0,,,1,0,0,46,0.07,,,,0,0
"Awadby, 2012",9,9,22,1,7.57,2,1,,,2,"The majority of participants (n = 56, 82.4%) spoke a language other than English in their home including Spanish, Tagalog, Vietnamese, Hindi, and Urdu.",22,24,,,,,,,,,0,1,,1,,Topic Familiarity Ranking Measure.,1,4,,,,0,RC,CST: ELA section.,0,,,1,0,0,46,0.11,,,,0,0
"Awadby, 2012",9,9,23,1,7.57,2,1,,,2,"The majority of participants (n = 56, 82.4%) spoke a language other than English in their home including Spanish, Tagalog, Vietnamese, Hindi, and Urdu.",22,24,,,,,,,,,0,1,,1,,Topic Familiarity Ranking Measure.,1,4,,,,0,RC,CST: ELA section.,0,,,1,0,0,46,0.08,,,,0,0
"Awadby, 2012",9,9,24,1,7.57,2,1,,,2,"The majority of participants (n = 56, 82.4%) spoke a language other than English in their home including Spanish, Tagalog, Vietnamese, Hindi, and Urdu.",22,24,,,,,,,,,0,1,,1,,Topic Familiarity Ranking Measure.,1,4,,,,0,RC,CST: ELA section.,0,,,1,0,0,46,0.01,,,,0,0
"Awadby, 2012",9,9,25,1,7.57,2,1,,,2,"The majority of participants (n = 56, 82.4%) spoke a language other than English in their home including Spanish, Tagalog, Vietnamese, Hindi, and Urdu.",22,24,,,,,,,,,0,1,,1,,Topic Familiarity Ranking Measure.,1,4,,,,0,RC,CST: ELA section.,0,,,1,0,0,46,0.03,,,,0,0
"Awadby, 2012",9,9,26,1,7.57,2,1,,,2,"The majority of participants (n = 56, 82.4%) spoke a language other than English in their home including Spanish, Tagalog, Vietnamese, Hindi, and Urdu.",22,24,,,,,,,,,0,1,,1,,Topic Familiarity Ranking Measure.,1,4,,,,0,RC,CST: ELA section.,0,,,1,0,0,46,-0.12,,,,0,0
"Awadby, 2012",9,9,27,1,7.57,2,1,,,2,"The majority of participants (n = 56, 82.4%) spoke a language other than English in their home including Spanish, Tagalog, Vietnamese, Hindi, and Urdu.",22,24,,,,,,,,,0,1,,1,,Topic Familiarity Ranking Measure.,1,4,,,,0,RC,CST: ELA section.,0,,,1,0,0,46,-0.15,,,,0,0
"Awadby, 2012",9,9,28,1,7.57,2,1,,,2,"The majority of participants (n = 56, 82.4%) spoke a language other than English in their home including Spanish, Tagalog, Vietnamese, Hindi, and Urdu.",22,24,,,,,,,,,0,1,,1,,Topic Familiarity Ranking Measure.,1,4,,,,0,RC,CST: ELA section.,0,,,1,0,0,46,-0.07,,,,0,0
"Awadby, 2012",9,9,29,1,7.57,2,1,,,2,"The majority of participants (n = 56, 82.4%) spoke a language other than English in their home including Spanish, Tagalog, Vietnamese, Hindi, and Urdu.",22,24,,,,,,,,,0,1,,1,,Topic Familiarity Rating Scale,1,4,,,,0,RC,CST: ELA section.,0,,,1,0,0,46,0.1,,,,0,0
